     1  0.2600000E+02  0.1800000E+02  0.2600000E+02
     2  0.2600000E+02  0.2600000E+02  0.2600000E+02
     3  0.2600000E+02  0.3400000E+02  0.2600000E+02
     4  0.2600000E+02  0.4200000E+02  0.2600000E+02
     5  0.3000000E+02  0.2200000E+02  0.2600000E+02
     6  0.3000000E+02  0.3000000E+02  0.2600000E+02
     7  0.3000000E+02  0.3800000E+02  0.2600000E+02
     8  0.3000000E+02  0.4600000E+02  0.2600000E+02
     9  0.3400000E+02  0.1800000E+02  0.2600000E+02
    10  0.3400000E+02  0.2600000E+02  0.2600000E+02
    11  0.3400000E+02  0.3400000E+02  0.2600000E+02
    12  0.3400000E+02  0.4200000E+02  0.2600000E+02
    13  0.3800000E+02  0.2200000E+02  0.2600000E+02
    14  0.3800000E+02  0.3000000E+02  0.2600000E+02
    15  0.3800000E+02  0.3800000E+02  0.2600000E+02
    16  0.3800000E+02  0.4600000E+02  0.2600000E+02
    17  0.2600000E+02  0.2200000E+02  0.3000000E+02
    18  0.2600000E+02  0.3000000E+02  0.3000000E+02
    19  0.2600000E+02  0.3800000E+02  0.3000000E+02
    20  0.2600000E+02  0.4600000E+02  0.3000000E+02
    21  0.3000000E+02  0.1800000E+02  0.3000000E+02
    22  0.3000000E+02  0.2600000E+02  0.3000000E+02
    23  0.3000000E+02  0.3400000E+02  0.3000000E+02
    24  0.3000000E+02  0.4200000E+02  0.3000000E+02
    25  0.3400000E+02  0.2200000E+02  0.3000000E+02
    26  0.3400000E+02  0.3000000E+02  0.3000000E+02
    27  0.3400000E+02  0.3800000E+02  0.3000000E+02
    28  0.3400000E+02  0.4600000E+02  0.3000000E+02
    29  0.3800000E+02  0.1800000E+02  0.3000000E+02
    30  0.3800000E+02  0.2600000E+02  0.3000000E+02
    31  0.3800000E+02  0.3400000E+02  0.3000000E+02
    32  0.3800000E+02  0.4200000E+02  0.3000000E+02
    33  0.2600000E+02  0.1800000E+02  0.3400000E+02
    34  0.2600000E+02  0.2600000E+02  0.3400000E+02
    35  0.2600000E+02  0.3400000E+02  0.3400000E+02
    36  0.2600000E+02  0.4200000E+02  0.3400000E+02
