  0.0000000D+00  0.0000000D+00  0.0000000D+00  0.0000000D+00
  0.1946392D-17  0.1742599D-17  0.2037938D-18  0.1537557D+03
 -0.7095341D-18 -0.9038441D-18  0.1943099D-18  0.1466004D+03
 -0.5730801D-18 -0.7723612D-18  0.1992811D-18  0.1503510D+03
 -0.5643533D-18 -0.7645832D-18  0.2002299D-18  0.1510668D+03
 -0.5947975D-18 -0.7930213D-18  0.1982238D-18  0.1495532D+03
 -0.5449117D-18 -0.7439272D-18  0.1990155D-18  0.1501505D+03
 -0.5843982D-18 -0.7838445D-18  0.1994463D-18  0.1504756D+03
 -0.6317460D-18 -0.8303298D-18  0.1985838D-18  0.1498248D+03
 -0.6791375D-18 -0.8800020D-18  0.2008645D-18  0.1515456D+03
 -0.6978336D-18 -0.8975308D-18  0.1996972D-18  0.1506649D+03
 -0.8050414D-18 -0.1004680D-17  0.1996383D-18  0.1506204D+03
 -0.8682643D-18 -0.1068037D-17  0.1997731D-18  0.1507221D+03
 -0.9169040D-18 -0.1117496D-17  0.2005924D-18  0.1513403D+03
 -0.9710763D-18 -0.1171557D-17  0.2004807D-18  0.1512560D+03
 -0.1040291D-17 -0.1240926D-17  0.2006350D-18  0.1513724D+03
 -0.1084505D-17 -0.1283966D-17  0.1994618D-18  0.1504873D+03
 -0.1108483D-17 -0.1307936D-17  0.1994528D-18  0.1504805D+03
 -0.1109829D-17 -0.1308493D-17  0.1986635D-18  0.1498850D+03
 -0.1100372D-17 -0.1296344D-17  0.1959722D-18  0.1478545D+03
 -0.1156539D-17 -0.1356212D-17  0.1996734D-18  0.1506469D+03
 -0.1175895D-17 -0.1375348D-17  0.1994526D-18  0.1504804D+03
 -0.1175355D-17 -0.1374474D-17  0.1991182D-18  0.1502281D+03
 -0.1194901D-17 -0.1393658D-17  0.1987573D-18  0.1499558D+03
 -0.1171014D-17 -0.1369671D-17  0.1986569D-18  0.1498800D+03
 -0.1175610D-17 -0.1374293D-17  0.1986829D-18  0.1498997D+03
 -0.1169984D-17 -0.1368708D-17  0.1987246D-18  0.1499311D+03
 -0.1199553D-17 -0.1398784D-17  0.1992318D-18  0.1503137D+03
 -0.1211617D-17 -0.1410871D-17  0.1992546D-18  0.1503310D+03
 -0.1237148D-17 -0.1436841D-17  0.1996931D-18  0.1506618D+03
 -0.1213222D-17 -0.1412337D-17  0.1991153D-18  0.1502259D+03
 -0.1200245D-17 -0.1399496D-17  0.1992510D-18  0.1503282D+03
 -0.1196343D-17 -0.1394818D-17  0.1984748D-18  0.1497427D+03
 -0.1188433D-17 -0.1387281D-17  0.1988473D-18  0.1500237D+03
 -0.1204720D-17 -0.1402626D-17  0.1979053D-18  0.1493129D+03
 -0.1200756D-17 -0.1399470D-17  0.1987141D-18  0.1499231D+03
 -0.1218288D-17 -0.1416967D-17  0.1986789D-18  0.1498967D+03
 -0.1220323D-17 -0.1418600D-17  0.1982769D-18  0.1495933D+03
 -0.1226743D-17 -0.1426729D-17  0.1999859D-18  0.1508827D+03
 -0.1220698D-17 -0.1419694D-17  0.1989956D-18  0.1501356D+03
 -0.1201257D-17 -0.1398507D-17  0.1972492D-18  0.1488180D+03
 -0.1188785D-17 -0.1385925D-17  0.1971396D-18  0.1487353D+03
 -0.1204602D-17 -0.1403912D-17  0.1993104D-18  0.1503731D+03
